Name,Party,Constituency,Date of Birth,Education
J. O. Ajayi,SDP,Moba,21/08/1940,Graduate in Economics
Emmanuel Bayo Ajayi,SDP,Ikere,22/02/1946,HND in Accountancy/ Business Studies
Ronald Olu Ogunleye,SDP,Akure,24/08/1954,Majored in Automobile Engineering and Design
George E. Famodimu,NRC,Ekiti West,17/04/1937,Certificate in Catering and Business Management
Akawa George Tunji,SDP,Ado-Ekiti,10/02/1960,Bachelor's Degree in Agricultural Economics
Aboluwodu Adesunloye,SDP,Ose,22/07/1947,GCE Certificate
James Olasehinde Esan,SDP,Emure-Ise-Orun,05/12/1950,HND
Akintoye J. O.,NRC,Ekiti South West,20/06/1948,B.Sc Economics
Olatunde John,NRC,Ekiti East,27/07/1928,Graduated in Agriculture/ Welding
Paul Oguntimehin,SDP,Akoko,03/03/1946,Master's Degree in Engr.
Adeola Alofe,SDP,Ido-Osi,03/03/1937,PGD in Ind. Management Diploma in Bible/Religious Studies
Alomoge P. I.,SDP,Irepodun/Ifelodun,10/10/1934,Accountancy Cert
Saliu O. Yusuf,SDP,Owo,07/07/1942,Technical Automobile Cert.
Ige E. Ropo,SDP,Ijero,03/01/1958,B.Sc. Business Admin.
Olatunji A. Adeyemi,SDP,Ikole,08/08/1945,Higher Education Cert.
Olufemi Akinbobola,SDP,Ile-Oluji/Okeigbo,13/10/1937,A Graduate of Finance
