Name,Party,Constituency,Date of Birth,Education
Babayo Adamu Udubo,NRC,Gamawa LGA,22/02/1957,B. A (Hons) in Education
Jack G. Gumpy,NRC,Balanga,1944,B.Sc in Education
Ibrahim Kadiri,SDP,Tafawa Balewa,06/04/1958,Masters degree in Physical Education
Isimila Mohammed,NRC,Dukku,1957,Secondary School Cert.
Umar Usman Lamido,NRC,Akko,1954,Bachelors degree in Business Administration
Gidado H. Muhammed,NRC,Jama'are,1960,B.Sc in Political Science
Idris Abdullahi Kufa,NRC,Alkaleri,1960,B.Sc in Accountancy
Wada Tawar Umbi,NRC,Billiri,1957,LL.B (Hons); & BL
Alhaji Salihu Adamu,NRC,Ningi,02/11/1944,Diploma in Accounts/ Audit
Adamu Lapidi Jalan,NRC,Misau,15/01/1954,Diploma in Personnel Mgt / Inds Relations
Isa Yakubu Toro,NRC,Toro,1949,Diploma in weights & Measures
Muhhammed A. Wandi,NRC,Dass,01/11/1943,P.G.D in Int'l Relations.
Yahaya Moh'd Imam,NRC,Ganjuwa,27/07/1963,"Govt. Sec. School, Hotels Training School."
Isa Musa Maton,NRC,Bauchi,,
Idris Abubakar,NRC,Kalyungo,,
Mohammad Kwadon,NRC,Yamaltu/Deba,,
