Name,Party,Constituency,Date of Birth,Education
Ononuju Ernest,NRC,Mbaitoli,22/11/1948,Medical Doctor
Livinus M. Okereafor,NRC,Ngor Okpala,25/12/1938,B.A degree (English/History)
Ndugbu Columba,NRC,Ahiazu,07/04/1934,B.Sc. (Econs); A.C.S & ICAN III
Unaogu A. Lazarus,NRC,Ikedura,27/02/1956,B.Sc. (Physics); Ph.D (Physics)
Iwuchukwu Ambrose,NRC,Ideato-South,22/11/1952,MB.BS
Amanfo C. Virginus,NRC,Oru,22/11/1949,Doctorate degree in Banking & Economics
Elias Osuagwu,NRC,Ehime Mbano,03/11/1946,HND in Accountancy & Business Administration
Amadi Chidi Paschal,SDP,Aboh Mbaise,25/04/1960,HND in Building Tech.
Okazie Jude Chimah,SDP,Ezinihitte,12/12/1942,A graduate (Animal Husbandry)
Festus N. Edomobi,NRC,Obowu,01/01/1942,Graduated in Estate Mgt
Ekeordu Peter Lucky,SDP,Ohaji/Egbema,21/02/1950,NCE
Mishael O. Mbaike,NRC,Isiala Mbano,23/03/1943,Law degree
Lili Garbari,SDP,Jahun,1933,
Ya'u Yakubu Kanya,SDP,Birniwa,30/09/1958,ND in Accountancy
Sani Mahmoud,NRC,Babura,1949,NCE; Advanced Diploma in Public Administration
Adamu Abdullahi,NRC,Hadejia,1950,N.C.E; B.A in Library Science
