Name,Party,Constituency,Date of Birth,Education
Peter Olaoye Adepoju,SDP,Oluyole,,Diploma in Education
Tunde Oloyede,SDP,Ifeloju,15/01/1950,Diploma in Marketing
Oyewale A. Gbemisoye,NRC,Surulere,21/03/1953,B.Ed in Administration & Planning
Younous Tunde Kakako,SDP,Ifedapo,10/11/1950,Degree in Business Administration
Akinremi J. Olusegun,SDP,Ona-Ara,02/11/1953,HND Marketing & Supply
M. J. Ajayi Ahmed,SDP,Irepo,24/08/1958,NCE
Oyediji S. Olubunmi,SDP,Ibadan North East,,B.A in Management
Samson Lekan Latinwo,SDP,Ibadan South West,29/04/1959,B.L.
Oladejo Oladeji,SDP,Egbada,05/10/1938,LL.B
Adebayo A. Musibau,SDP,Oyo,16/08/1963,B.A. Hons
Adisa Oladipo Nureni,SDP,Ido,02/04/1962,Majored in Transport & Engineering
Oladejo Moses Olabanji,SDP,Akinyele,28/08/1935,Grade I Certificate in Eng. And Social Science
Mudathir Sekoni,NRC,Orelope,21/10/1953,HND in Business Admin.
Samuel O. Oyinlola,SDP,Ibarapa,22/06/1949,(GCE)
Nicholas Ojo-Alokomaro,SDP,Ogbomoso,13/10/1952,Secondary School Cert.
Oyelakin James Ayodeji,SDP,Ogo-Oluwa,04/10/1951,HND
