Name,Party,Constituency,Date of Birth,Education
Pam John Wash,NPP,Jos,22/10/1940,B.A. (Hons) Int. Affairs
Matta Garba,NPP,Pankshin/Mangu/Kanam,21/03/1932,
Hoomkwap George Baba,NPP,Shendam,28/12/1942,L.L.B
Jibrin Walid,NPP,Plateau,,
,,,,
Ellah Francis John,NPP,Ahoada/Ikwerre/Etche,04/10/1927,B.A.
Nunieh Cyrus Nwidonane,NPN,Rivers IV (Bonny/Bori),05/02/1930,L.L.B & B.L
Zuofa Amatari,NPN,Brass/Sagbama/Yenogoa,29/11/1923,B.A Econs
,,,,
,,,,
Abdulkarim Muhtari,NPN,Sokoto East,05/02/1938,Teacher's Grade II
Dabai Isa Abubakar,NPN,Sokoto,,
Abubakar Kigo Dakin-Gari,NPN,Sokoto,,
Bakwai Salihu,NPN,Sokoto,,
Yakwo Daniel,NPN,Sokoto,,
