Name,Party,Constituency,Date of Birth,Education
Clement Tsetse Ayabuba,NRC,Gwer East,10/10/1952,Diploma in Cooperative Studies
Matthew I. Ojabo,SDP,Okpokwu,10/01/1948,B.Sc (Hons) in Management Science
Terhemba Shija,SDP,Vandai Kya,23/11/1960,M.A in Creative Writing
Ajene Ogiri,SDP,Oju,12/02/1957,"B.Sc Pol.Sc, M.Sc Int.Rels"
Rebecca M. Apedzan,SDP,Makurdi,,Diploma in Nursing
Atighur Shaguy,SDP,Gboko,22/11/1951,
Atta S. Kwaghtse,SDP,Ower West,25/11/1955,B.A English/Education
Obochi Donatus Udama,SDP,Ogbadibo,20/03/1950,Masters Education Admin
Abiche Samule Adole,SDP,Apa,13/07/1954,"Master of Education, Ex. Physiology"
Ada Mark,SDP,Otukpo,28/08/1966,"Bachelor of Arts Degree in Theatre Arts, an OND in Mass Comm."
Augustine Azer Igba,SDP,Konshisha,1949,B.Sc Agriculture
Terdoo Angagh,SDP,Katsina-Ala,14/12/1958,Master degree in Adult Education
John M. Awange,SDP,Guma,20/03/1952,Certificate Diploma
Orbunde Terwase,SDP,Kwande,19/07/1959,B.Sc Agriculture
Bernard A. Ochepa,SDP,Ado,17/01/1964,HND Estate Management
Upper I. Edward,SDP,Ukum,06/12/1946,Masters degree in Manufacturing
