Name,Party,Constituency,Date of Birth,Education
,,,,
Adesanya Abraham Aderibigbe,UPN,Ijebu North-East,24/08/1924,
Odebiyi Jonathan A. Olawole,UPN,Egbado North/South,11/03/1923,B.A (Hons)
Sogbein Samuel Olusanmi,UPN,Odeda/Obafemi/Owode,10/12/1920,
Odujinrin Oladipo Olusoga,UPN,,,
Agunbiade L. Adekunle,,,,
Ogunleye Emmanuel Kayode,UPN,Ondo East,06/05/1934,"L.L.B, B.L"
Fasanmi Ayo,UPN,Ondo North,27/09/1925,
Adeshakin Olagunju,UPN,Ondo,,
Adisa Yekinni Adejare,UPN,Ondo,,
,,,,
Adeleke Ayoola,UPN,Osun II,27/12/1923,Full time Trade Unionism
Adesina Olalere Ajibade,UPN,Ibadan,10/02/1931,"B.Sc Econs, L.L.B"
Ilori Christopher Oladosu,UPN,Ife-Ilesha,27/07/1929,"B.Sc (Agric Sci), Ph.D"
Akinboro Hezekiah Ademola,NPN,Oshun I,,
,,,,
