Name,Party,Constituency,Date of Birth,Education
Maina Mastapha Baga,SDP,Kukawa,1960,NCE
Goni A. Ali,SDP,Mobbar,1961,Diploma in Law
M. Yakub Mohammed,NRC,Kaga,1952,Diploma in Prim. School Supervision/Admin.
Mohammed M. Tumala,SDP,Gwoza,13/04/1964,B.Sc in Statistics; Master of Science
Abba S. Gubio,SDP,Gubio,1962,Diploma in Adult Ed.
Dunoma Umara,NRC,Konduga,1953,Diploma in Business Studies
Kabir Lawan,SDP,Ngala,,
Daniel Oza Bassey,,Abi,09/05/1954,B.A in Pol. Science/History
Ibeshi E. Awhan,SDP,Obudu,14/08/1961,B.A in Theater Arts
Daniel B. Ekpenyong,NRC,Akpabuyo,25/11/1950,B.Sc in Chemistry & Education
Tangban Ayuk Ojong,NRC,Ikom,21/03/1952,B.Sc in Pol. Science & Administrative Studies
Ofem Ikpi Ofem,NRC,Yakurr,02/02/1964,"Bachelor of law degree, with barrister-at-law"
Moses Wonah Oko,NRC,Ogoja,02/12/1958,B.A in History/English
Irek Eden Ernest,NRC,Obubra,12/07/1958,HND in Mass Communication
Ekpo Ekpo Okon,NRC,Odukpani,31/05/1960,"HND Mass Com.; TV College, Jos"
Florence Ita-Giwa,NRC,Calabar,19/02/1946,Diploma in Gen. Nursing & Diploma in Medical Secretaryship
