Name,Party,Constituency,Date of Birth,Education
Umaru Yakubu Maru,NRC,Anka,1952,School Cert.
Usman Abdullahi Illela,NRC,Illela,12/12/1958,WAEC Certificate
Shehu Labaran,NRC,Gwadabawa,15/06/1949,Certificate of Supervision and Inspection
Abdullah W. Tambawal,NRC,Tambawal,16/08/1960,Diploma in Law and Diploma Journalism
Umaru Saidu Gada,NRC,Gada,January 1949,"NRN, RPN, DNAM"
Mwazu Ahmed,NRC,Bakura,1946,Secondary School Cert.
Atiku Lima Gande,NRC,Silame,1962,Diploma in Local Govt. Administration
Bello Mode,NRC,Kware,04/01/1954,Bachelor's Degree in Marketing
Muh'd A. A. Marafa,NRC,Talata Marafa,25/12/1958,HND in Irrigation Agronomy
Ikira Aliyu,NRC,Tsafe,1957,Diploma in Banking and Finance
Garba G/Madu,NRC,Tangaza,14/04/1960,Diploma in Accountancy
Aliyu Shehu Achida,NRC,Wumo/Achida,20/06/1959,Educated
Abubakar Hagiru Dange,NRC,Dangashuni,1960,B.Sc in Vocational/Tech. Education
Suleman Adamu,NRC,Gummi,,
A. Bello Tudu Isa,NRC,Isa,,
Musa Usman,NRC,Goronyo,,
