Name,Party,Constituency,Date of Birth,Education
Abimbola Adegbesan,SDP,Oshodi/Isolo,03/07/1934,LL.B (London Inter Temple)
Museli O. Mustapha,SDP,Ikorodu,02/09/1939,A.C.C.A; A.C.A.
Adebayo Ola Amure,SDP,Epe,25/07/1932,Graduate of Medicine
Abubakar B. Akinlolu,NRC,Oti-Osa,03/10/1951,Dr. Degree in Fin. Man.
Wasiu Olorunosenkanti,NRC,Ibeju/Lekki,25/02/1966,B.Sc in Applied Geology
Suarau Kabiru Akanbi,SDP,Ojo,03/01/1940,Diploma in Education
Kosoko Oladele Idris,SDP,Badagry,20/09/1952,P.HD in Business Adm.
Olufemi Ikuomola,SDP,Alimosho,,
Tokunbo Afikuyomi,SDP,Lagos Mainland,,
Wunmi Lasis,SDP,Shomolu,,
Abdul Aliyu A. Mafillata,NRC,Magama,01/01/1948,Diploma in Sales Mgt.
Hajara L. Usman,NRC,Rafi,1956,Basic Law Degree
Mohammed Saleh,NRC,Rijau,15/06/1960,BSc. in Geography
Zachariah A. Dikko,NRC,Gurara,04/10/1949,Post Graduate Diploma in Management
Yahaya Bello,NRC,Paikoro,09/07/1952,BSc. in Industrial Education
Abubakar S. Kpautagi,NRC,Mokwa,01/01/1960,NCE
