Name,Party,Constituency,Date of Birth,Education
Shita-Bey Sikiru Ayodeji,UPN,Lagos,26/06/1931,
Mu'azu Abdullah,NPN,Kontagora,1924,
Olu Justus Olabode,UPN,Kwara South-East,28/03/1930,
Magaji Abubakar,NPN,Suleja (Formerly Abuja),03/12/1936,
Obaro Isa,NPN,Kwara South,20/08/1934,
Dada Garba Musa,NPN,Minna/Kagar,28/11/1941,
Salihu Jibrin,NPN,Agaie/Lapai,12/04/1937,
Gani Aliya Mohammed,NPN,Kwara North,31/12/1935,
Adebayo O. Cornelius,UPN,Kwara Central,24/02/1941,
Durosimi Abayomi Adeyosola,UPN,Badagry,01/01/1935,
Abubakar O. Saraki,NPN,Ilorin/Asa,17/05/1933,
Ayantuga Obafemi,UPN,Epe,10/04/1937,
Adamu Gaya,PRP,,,
Ajayi Adeyiga Omopenu,UPN,Ikeja,06/06/1939,
Musa Hamisu,PRP,Kano South-West,"August 3, 1938",
Abiru Mubashir Akanbi,UPN,Ikorodu,25/09/1932,
