Name,Party,Constituency,Date of Birth,Education
Wodi Godwin Bekwele,NPP,Port-Harcourt II,27/01/32,B.Sc Business Admin.
Nwala Ezebunwa O. Ajoku,NPP,Ikwere Etche,05/08/37,"B.A (Hons), Ph.D"
Princewill Dagogo,NPN,Degema I,16/01/40,(ACCA)
Sekibo James Taribo,NPN,Bonny II,28/12/44,"Diploma in Agriculture, M.B.B.S., M.Sc."
"Asuk, Shem Ezekiel",NPN,Bonny 1,28/05/31,"Local Government Admin., LL.B (Hons) London"
Egberipou P. Idoubagha,NPN,Yenogoa,22/11/41,"Bachelor of Medicine, Bachelor of Surgery (BS) (FRCS)"
,,,,
Sangha Prince J. S.,NPN,Bori 1,28/05/42,B.Sc (Bus. Admin) M.A (Public Administration)
Altine Tangaza Moh'ed,NPN,Tangaza,15/12/50,Teacher's Grade II Certificate
Bungudu Bello Dala,GNPP,Bungudu/Kotorkoshi,1940,Primary School Certificate
Bachaka Mohammadu,NPN,Argungu,12/04/38,"NCE, BA (Hons) History Dip. (Education Admin)"
Gwadabawa Isiaku,PRP,Gabasawa,1942,"Teacher's Grade II, NCE"
Gummi M. Aliyu,NPN,Gummi,1925,Teacher's Grade II Cert.
Ibrahim Dauda Tsdunga,NPN,Sakaba-Wasagu,1928,NA Primary School Cert.
Jega Garba,NPN,Jega East,1944,Local Govt. Admin. Cert. State II
Mafara Abdul Mumini,NPN,Talata/Mafara,11/11/51,OND General Agriculture
