Name,Party,Constituency,Date of Birth,Education
Ekpo Edet Asuquo,NPN,Uyo III,1923,"Std. VI, Middle II"
Etienam Edet Bassey,NPN,Oron,22/01/38,Certificate in Industrial Relations
Effiong Martin Okon,UPN,Oron III,12/06/25,Diploma in Agriculture
Eddy Okon,NPN,Ikot Ekpene I,30/09/39,"Teacher's Grade II, Dip. Social Admin., GCE A/L"
Inyang Edet Udoh,NPN,Ikono,09/10/31,"B.A, (Econs, Law & Accountancy) ACA, FCA"
Ikpeme Okon,GNPP,Akamkpa,12/08/30,Teacher's Higher Elementary Certificate
Ononokpono Effiong,UPN,Oron I,11/11/64,"Diploma Cooperative and Labour Mgt., Cert. Social Studies & Dev."
Ojogu Ekok,NPN,Obubra,05/02/40,"Teacher's Grade II, Grade III M.Sc Political Science"
Okoi Lekam Ofem,NPN,Obubra,02/02/40,"LL.B. (Hons.), B.L."
Ukpong M.B.,NPN,Abak,29/09/40,"M.Sc (Pub. Admin), MPA M.Sc (Pub. Admin), Ph.D"
Ukpong David Akpan,NPN,Itu,1947,"Teachers Grade II Cert., B.Sc (Pol. Sci)"
Ukpanah Akaninyene,NPN,Ukanafon II,12/08/34,"NPS, Diploma Pharmacy"
Utande Emmanuel Ada,NPN,Obodu,20/02/1943,"B.Sc (Hons), M.A, Ph.D"
,,,,
Inoh Amos Alfred,,Ikot Abasi II,15/01/46,"City & Guilds, Certificate in Automobile Engineering"
Agbujoro Agya,NPN,Wukari,1940,Diploma in Education Planning & Admin.
