Name,Party,Constituency,Date of Birth,Education
Tunji S. Abolade,UPN,Ifelodun Central,01/11/39,
A. Afonja,UPN,Oyo Central,23/11/39,B.Sc in Maths
J. A. Abiona,UPN,Ifelodun East,25/12/33,
Olusola Afolabi,NPN,Oyo East,26/09/43,
Akin Rotimi,UPN,Ekiti North District,25/11/40,B.Sc in Political Science
Gbadebo E. Adewumi,UPN,Osogbo South,27/11/33,
Oladipupo J. Owoseni,UPN,Ekiti South,20/02/29,National Cert in Business Administration
Samuel A. Adesina,UPN,Kajola,02/06/37,
F. A. O. Osekita,UPN,Ekiti Central,13/03/29,
David Adelu Adeniyi,UPN,Ibadan East,03/06/31,Advance Diploma in Trade Union Organisation.
Olusola Omoniran,UPN,Ilaje/Ese,08/10/34,
S. A. Adekule,UPN,Iseyin,15/06/30,
C. A. Oluwatusin,UPN,Ekiti South/West,20/12/20,
I. A. Adejare,UPN,Ede North,1925,
S. O. Olowu,UPN,Ikale,"December, 1940","L.L.B, B.L"
R. O. Adegoke,UPN,Ibarapa,29/07/36,
