Name,Party,Constituency,Date of Birth,Education
Olaka Johnson Nwogu,PDP,Eleme/Tai/Oyigbo,26/01/1965,(MBA) in Management
Oludi Edwin Ogouda,PDP,Obio/Akpor,,Secondary School Cert
Promise I. T. Abibo,APP,Okrika/Ogu-Bolo,,Secondary School Cert
Chibudom N. Nwuche,PDP,"Ahoaha East, Abua/Odual",30/09/1961,Bachelor of Law Degree
Lasbry Amadi,PDP,Port/Harcourt,,Bachelor Degrees (BSC) in Mechanical Engineering
Muhammed Arewa S.,APP,Gudu/Tangaza,1959,Secondary School Cert
Gatewa Sirajo Marafa,APP,Isa-Sabon-Birni,15/09/1957,Secondary School Cert.
Zakari Muh'd Shinaka,APP,Gorondo/Gada,30/06/1963,NCE
Zubairu S. Magori,PDP,Gwadaba/Illiza,1952,Secondary Sch. Ed. (GCE)
Moh'd Arzika Tureta,PDP,Bodinga/Dange-Shuni/ Tureta,1959,Bachelor's of Education Degree Language Arts
Yabo Hassan Kiryo,PDP,Shagari/Yabo,1959,HND
Aliyu Umar Sanyinna,APP,Kebbe/Tabuwal,1954,GCE Advance Level
Ismaila Balarabe,APP,Sokoto South/North,20/03/1954,Grade II
Sule Yari Gandi,APP,Wurno/Rabah,21/05/1966,Master's Public Admin. (Under going MPA THESIS)
Usman Mohammed,APP,Kware/Wamakko,15/05/1954,Master's Degree (MSC) in Economics
Dikko Mukhtar,ANPP,Binji/Silame,,Cert. in Salesmanship
