Name,Party,Constituency,Date of Birth,Education
A. A. Suleiman,NPN,Bade,,
Tijani Lawan,GNPP,Ngala West,1949,
Lawan Omar,GNPP,Kaga,21/09/32,
Sanda Konduga,GNPP,Konduga,1936,
Hamza M. Nganjiwa,GNPP,Biu North,1940,"B.A in Education, Grade II Teacher Cert."
Mohammed Zannah Juggal,,Dambo'a,1939,
Paul K. D. Mshelia,GNPP,Biu South,05/03/42,
Jidda Haruna,GNPP,Monguno,April 1930,
M. Bukar Mele,GNPP,Matchina,15/05/53,"W.A.S.C, B.A in History & Pol. Science"
Barde Gadaka,GNPP,Fika South,1948,Grade II Teacher Cert.
Audu Mbico,GNPP,Gwoza,1949,
Kachalla Damaturu,GNPP,Damaturu,,
Maina Ma'aji,GNPP,Kukawa South-West,12/07/1954,W.A.S.C. B.Sc (Bus. Admin)
Mohammed Dagari,GNPP,Nguru Central,"June, 1946",
Bukar Limambe,GNPP,Kukawa North-West,"November, 1942"
Umar Lawan,GNPP,Geidam South,21/09/32,
