Name,Party,Constituency,Date of Birth,Education
Dikko Hamman-Liman,NPN,Bali,1939,
Dominic Vontih Yakoko,UPN,Zing,1939,Diploma (General Admin)
Abdul K. Lanko,UPN,Sawa,1935,
D. B. Kamai,GNPP,Jalingo,18/04/38,
David Saraso,,Ganye,,
Aeneas M. G. Gowono,UPN,Numan,15/01/18,
Idris N. Medugu,,Madagali,,
A. Sani Garkida,NPN,Gombi,1937,
Hassan Gambo,NPN,Mayo-Balwa,,
Bello Dauda Furo,NPN,Fufore,01/01/1958,
Barnabas Falu,UPN,Guyuk,1931,
B. M. Mabrama Jen,UPN,Karim Lamido,1936,Grade II Teacher's Cert.
Pastor Magiri,NPP,Michika,1941,Graduate Business Admin
Aliyu Mahmud,NPN,Yola,1929,
James M. Nzalak,GNPP,Gembu,1944,Grade II Teacher’s Cert
Amos Sunday,GNPP,Song,1943,Advance Cert. In Education
