Name,Party,Constituency,Date of Birth,Education
Alex Usman Kadiri,APP,Kogi East,21/06/1942,Doctorate Degree
Jonathan Tunde Ogbeha,PDP,Kogi West,01/09/1947,WASC & Military Diploma
Salman Is'haq Adebayo,APP,Kwara Central,13/03/1954,Medical Degree
Makanjuola A. Suleiman,APP,Kwara South,03/06/1957,MBA
Zuruq Baba Ahmed,PDP,Kwara North,20/10/1951,PGD in Business/Admin. Management
Ogunlewe K. Adeseye,AD,Lagos East,05/12/1945,Bachelor Degree
Wahab O. Dosunmu,AD,Lagos West,14/05/1939,Doctoral Degree
Afikuyomi Tokunbo,AD,Lagos Central,,
Haruna Abubakar,PDP,Nasarawa South,06/06/1952,Bachelor of Law Degree & MPE
Abubakar D. Sodangi,PDP,Nasarawa West,31/01/1954,Bachelor of Law Degree
Aga Patrict,PDP,Nasarawa North,17/03/1945,Advance Diploma in Social Medicine
Idris Ibrahim Kuta,PDP,Niger East,01/10/1942,"OND, Diploma in Quantity Surveying, Doctor of Sc. in Quantity Surveying, MNIQS"
Isa Mohammed,PDP,Niger South,28/04/1948,"HSC, WASC"
Nuhu L. Aliyu,PDP,Niger North,13/06/1941,Sch. Cert.
Otunba Olabiyi Durojaiye,AD,Ogun East,08/02/1933,"B.Sc. Econs., Bachelor of Law Degree and Barr. at Law MNI"
Femi Okurounmu,AD,Ogun Central,11/08/1939,Doctor of Science in Mechanical Engineering
