Name,Party,Constituency,Date of Birth,Education
Fedelis C. Okoro,NRC,,,
Bright Nwanne,NRC,Owerri Zone,12/12/56,Bachelor Degree in Marketing
Umar N. Maduagwu,NRC,Orlu Zone,14/02/45,M.Sc. Degree in Mining Engineering
B. C. Agunanne,NRC,Okigwe Zone,16/01/1935,M. Ed Degree
Musa B. Abdullahi Aujara,SDP,Jigawa Central,1958,Diploma in Educational Management
Moh'd U. S. Magama,PDP,Jigawa East,,
Ibrahim Musa Kazaure,SDP,Jigawa West,,
Musa Bello,NRC,Kaduna Central,20/06/55,Business & Marketing Studies
Tsoho Abubakar Ikara,NRC,Kaduna West,1950,National Diploma in Admin.
Babale K. Maikarfi,SDP,Kaduna East,31/07/42,Master Degree in Educational Psychology
Aminu Inuwa,SDP,Kano Central,1945,"Degree in Public Admin., M.Sc (Public Admin)"
Magaji A. Abdullahi,SDP,,,
Isa Kachoko,NRC,Kano South,15/01/40,Diploma in Personnel Management
Abu Ibrahim,NRC,Kastina South,28/10/45,B.Sc & M.Sc in Economics
Ibrahim A. Safana,SDP,Katsina Central,,Public Administration
Kanti Bello,,Katsina North,"January, 1945",Bachelor of Engineering Degree
