Name,Party,Constituency,Date of Birth,Education
Musa Dauda Kam Salem,SDP,Lokoja,04/01/1954,NCE in Agriculture
Jimoh Abdul Akpoti,SDP,Okehi,1949,Degree in Medicine
M. I. Ayeni,NRC,Yagba East,10/06/1935,M.Ed. Ph.D
Salihu Ohikwo Shaibu,NRC,Koton-Karfe,23/11/1962,B.Sc Bus. Admin. & Diploma in Banking
Abdullahi Sadiq,SDP,Adavi,14/02/1960,B.Sc. in Political Science
Sadig A. Mohammed,SDP,Ajaokuta,15/12/1959,"L.L.B, a B.L. & LL.M in Law"
Kayode Ige,NRC,Yagba West,05/03/1942,Degree in Veterinary
Baba Danladi Atta,NRC,Dekina,September 1963,N.C.E in Agric. Science
Ogba Linus Mohammed,NRC,Ankpa,15/04/1954,B.Sc. in Political Science
Michael Omale Ogabor,NRC,Olamaboro,1947,B.Sc. in Education & Econs.
Olorunleke O. Anthony,NRC,Kabba/Bunu,15/07/1961,Bachelor of Education Degree
Salihu Ndanusa Dauda,NRC,Bassa,01/10/1954,
Usman Asuku Sule-Otu,SDP,Okene,05/12/1956,HND in Civil Engineering
Abiodun Obafemi,SDP,Ijumu,26/12/1951,"B.Sc., M.Sc & Doctorate Degree"
Aunka Emmanuel Uchola,SDP,Idah,12/01/1955,HND in Civil Engineering
Abraham A. A. Ashaolu,SDP,Ekiti,08/08/1954,Doctor of Veterinary Med.
