Name,Party,Constituency,Date of Birth,Education
Isaiah Obi,SDP,Orumba South,,
Ekong Mex Umoh,NRC,Mkpat Enin,07/07/1942,Diploma in Salesmanship
Nsikan Joseph Nyong,NRC,Uyo,26/03/1964,Secondary School
Uwem U. Uko,NRC,Etinan,August 1937,Diploma in Pub. Admin
Inana D. Akpan,NRC,Ukanafun,22/09/1938,Diploma from Institute of Transport.
Etim Etido Atakpa,NRC,Essien Udim,03/07/1956,A graduate of Mngt. Studies
Okon Ita Essang,NRC,Mbo,03/08/1934,Diploma in Forestry
Etim Edet Esin,NRC,Oron,06/08/1952,Sch.Cert
Aloysius Akpan Etok,NRC,Ikono,15/02/1958,A Graduate of Banking & Finance
Tony Mike Akpan,SDP,Uruan,14/06/1965,A Law graduate with LL.B
Obong B. B. Udoewah,NRC,Nsit-Ubium,02/12/1947,"A Graduate of PFALZ, Majored in Textile Tech."
Udom Sunday J.,SDP,Oruk-Anam,16/04/1950,B.Sc Estate Mgt. & M.Sc (Bus. Admin.)
Dan Nkereuwem Okon,SDP,Abak,11/03/1964,Business School Certificate
Udo Marcus Akpan,NRC,Ikot Abasi,12/10/1946,MBA in Banking & Finance
Etukudo Jack Etukudo,SDP,Onna,22/12/1936,A graduate of Business Management
Solomon F. Abasiekong,SDP,Ini,03/11/1955,Ph.D in Agriculture
