Name,Party,Constituency,Date of Birth,Education
Mohammed S. Daggash,PDP,"Marte, Mongoro, Nganzai",22/12/1960,Master of Science Degree in Architecture
Abubakar Kyari,APP,Mobbar/Abadam/ Kukawa/Guzamala,15/01/1963,MBA in Finance
Mustafa Alkali Gajibo,APP,Dikwa/Mafa/ Konguga,15/02/1950,Bachelor Degree in Electrical Consultant and Construction Engineer
Mohammed U. Kumalia,APP,Maiduguri Metropolitan,06/09/1967,Bachelors Degree in Law
Mohammed M. Damcida,PDP,Biu/Shani/Bayo/K.Kusar,1952,Bachelors Degree
Stanley Dika Ngada,PDP,Askira UBA/Hawul,21/05/1951,"Bachelor Degree of Law Degree (LL.M, B.L.)"
Mohammed Wakil,PDP,Damboa/Gwoza Chibok,1965,"A Law Degree-LL.B, (Hons)"
Shettima Shehu,APP,Kaga/ Gugbio/Magumari,28/10/1962,Bachelor of Science in Business Administration
Babagoni Bolori,APP,Jere,02/01/1969,National Diploma
Babagana Tijjani,APP,Bama/Ngala/Kala-Balge,1962,A.D.P.A.
Ebuta Amba Tangban,PDP,Obubra/Etung,,Master Degree (MSC) in Architecture
Obeten Okorn Obeten,PDP,Yakurr/Abi,08/10/1956,Bachelor of Law Degree
Alobi Odey Nyambi,PDP,Ikom/Boki,20/05/1952,Doctor of Medicine Degree
Agbor Patric Okon,APP,Akamkpa/Biase,20/10/1952,Higher National Diploma in Agriculture
Patrick Ene Okon,APP,Akpabuyo/Bakassi/ Calabar,06/04/1960,Master of Science in Public Relations
Mike O. Ogar,APP,Bekwarra/Obaniliku,17/07/1962,Doctor Degree (PH.D) in City & Regional Planning
