Name,Party,Constituency,Date of Birth,Education
Igbodor Peter Leja,APP,Ogoja/Iyala,17/07/1962,Bachelor Degree in Political Science & Public Admin.
Nya Eyoma Asuquo,APP,Calabar Municipality Odukpani,,Doctoral Degree in Political Economy
Aguariavwodo E. Edesiri,APP,Ughelli North/South/ Udo,08/12/1957,Bachelor Degree in Econs
John Halims O. Agoda,APP,Ethiope,01/01/1962,"Bachelor of Law Degree, LL.B"
Agbeotu E. Emibra,APP,Burutu,03/03/1961,Master Degree in Environmental Management
Temi Harriman,APP,Warri,01/01/1963,Bachelor of Law Degree
Nduka Irabor,PDP,Ika,09/12/1958,Higher Diploma in Advance Journalism
Gabriel M. Dumi,PDP,Okpe/Sapele/Uvwie,10/10/1940,Bachelor of Law Degree & LL.B
Mercy Almona-Isei,PDP,Ndokwa/Ukwani,24/08/1951,Diploma in Mass Comm.
Efekodha A. Onomuefe,PDP,Isoko North/ Isoko South,12/04/1947,Bachelor Degree in Mechanical Engineering
Ned Munir Nwoko,PDP,"Aniocha North/South, Oshimili North & South",21/12/1960,Barrister at Law
Solo Ogoh,PDP,Bomadi/Patani,,
Agwu O. Nnachi,PDP,Afikpo North/South,24/05/1964,PH.D Electrical Engineering
Ogodo Patience Uwa,PDP,Ebonyi Ohaukwu,18/11/1958,NCE Certificate
Onwe Peter Sunday,PDP,Ishielu/Ezza North,20/05/1964,School Certificate
Kelechi Les Chima,PDP,Ebonyi,12/08/1965,Master's Degree in Architecture
