Name,Party,Constituency,Date of Birth,Education
Chris Eriba,SDP,Yala,10/01/1955,B.A Hons in History; Master of Arts
Ajah Ekpeni Obia,SDP,Biass,06/10/1959,"B.Sc. in Architecture, M.Sc (Architecture)"
Augustine Ugar Ogogo,SDP,Obanliku,16/06/1955,"B.Sc., M.Sc (Forestry) / Wild Life"
Denis Enyam Nkiri,NRC,Akamkpa,29/06/1962,National Certificate of Education
Oshita O. Oshita,NRC,Boki,14/06/1962,B.A in Philosophy
Okpohworhu A. Alfred,SDP,Ughelli North,16/10/1957,LL.B; Master of Law degree
Kerry George I.,SDP,Ika North-East,09/11/1937,"MB, BS"
Odhegolor A. Lucky,SDP,Isoko North,02/03/1953,B.Sc. in Biology
Christopher Chiedu A.,SDP,Aniocha South,13/04/1956,MBA Marketing; Diploma in Marketing.
Edijala John Vote,SDP,Ughelli South,21/06/1957,B.Sc. Electrical Engineering
Chukwuji G. Adigwe,SDP,Aniocha North,03/11/1941,Accountancy (Major)
Edojah S. Odeyovwi,SDP,Ethiope East,03/03/1958,B.Sc. Business Admin.
Peter Y. Biakpara,SDP,Burutu,25/03/1947,Diploma in Aeronautical Engineering
Sam Osasa,NRC,Ndokwa West,07/12/1956,B.Sc. in Sociology; LL.B; BL
Uwadinisu Onyenokwe,SDP,Ndokwa East,28/12/1931,Bachelors degree in Education
Sunday Urunoghoresan,SDP,Warri South,24/04/1932,H.N.D in Accountancy
