Name,Party,Constituency,Date of Birth,Education
Kuriya Tafarki Auta,PDP,Kurmi/Sardauna/ Gashaka,1960,Bachelor of Ed. Degree
Khani Taura Titus,PDP,Karim Lamido/ Lau/Ardokola,12/07/1940,OND
Abduleez Tonku,APP,Donga-Takun-Ussa,04/04/1952,HND in Agric Econs
Dantani Sunswa,PDP,Ibi-Wukari,16/11/1964,OND
Al-Hassan Al-Gaddas,PDP,Jalingo/Yorro/Zing,1965,HND/ADPA in Public Admin
Dahiru Bako Gassol,PDP,Bali/Gassol,16/06/1955,HND in Community Health
Jibrin Babale,PDP,Gulani/Gujba/ Damaturu/Tarmuwa,13/04/1960,Teacher Training College
Suleiman Isiyaku,PDP,Fika/Fune,02/03/1964,Bachelor Degree in Econs
Hassan Jonga,APP,Nangere/Potiskum,28/11/1960,HND (Soil & Water Eng)
Ahmad I. Lawan,APP,Bade/Jakusko,,Ph.D in Remote Sensing
Almajir Geidam,APP,Bursari/Geidam/ Yunusari,16/01/1962,Doctor of Veterinary Med.
Bello Shugaba,APP,Yusufari/Nguru/ Machina & Karasuwa,12/06/1967,OND in Public Admin.
Sani Ibrahim R. Doruwa,APP,Bungudu/Maru,25/08/1965,Bachelor Degree in Botany
Bello Abubakar Moriki,APP,Zurmi/Shinkafi,26/03/1957,HND in Civil Eng/Transp
Lawali Ibrahim Godal,APP,Kaura Namoda/ Birni Magaji,January 1962,NCE
Makwashi Abubakar,APP,Bakura/Maradun,12/06/1946,NCE
