Name,Party,Constituency,Date of Birth,Education
Anayo Edeh,NRC,Nkanu,07/05/1961,Business Admin. Graduate
Cosmoas C. Eziechi,NRC,Ezeagu,01/02/1961,A Pol. Science Graduate
Isha Aramigbo Anthony,SDP,Izzi,21/11/1952,Diploma in Marketing
Nico Agbo,SDP,Enugu South,11/04/1962,Attended UNICAL & Nigerian Law School
Madueke C. Obi,NRC,Oji River,25/07/1951,P.G.D in Computer System Analysis & Design
Agbo G. Chukwuemeka,NRC,Nsukka,25/12/1943,B.L (Hons) in Law
Chris Ptaka Nnadi,NRC,Igbo Etiti,,
Ama Nwauwa,NRC,Oguta,02/05/1963,B.L
Bonny O. Uzoma,NRC,Nkwerre,15/06/1949,MCP
Ibe Okechukwu,NRC,Ideato North,01/01/1957,DVM; (MD) Angiology Specialist
Hilary A. Ihenachor,NRC,Orlu,29/11/1947,Doctorate Degree in Pol. Science
Ndubueze Patrick C.,NRC,Okigwe,24/02/1963,ND in Civil Engineering
Basil O. Okafor,NRC,Ihitte/Uboma,13/08/1958,LL.B
Akubuo A. U.,NRC,Isu,10/06/1952,Studied Medicine
Ignatius Onyejekwe,NRC,Orsu,04/10/1958,LL.B
Chris C. Asoluka,NRC,Owerri,01/05/1955,B.A Pol. Sci; M.Sc; LL.B; Masters degree in Shipping
