Name,Party,Constituency,Date of Birth,Education
Usman Alhaji,APP,Malammadori/ Kaugama,1955,Diploma in Public Admin.
Isa Sani Abubakar,APP,Gwaram,15/02/1959,Bachelors Degree in Islamic Studies
Jibrin Yusuf Babangida,APP,Hadejia/Kafin Hausa/ Auyo,1958,National Diploma in Cooperative Management
Binta Garba Koji,APP,Kaduna South,17/04/1967,HND Marketing
Mohammed M. Haruna,APP,Igabi,01/01/1958,Post Graduate Diploma & Chartered Financial Accountant
Jonathan Asake,PDP,Zango Kataf/Jaba,15/04/1966,Master Degree (M.Sc.) in Communication Electronics
Ibrahim Abdullahi,PDP,Sabon Gari,30/20/1949,Military Certificate-PSC
Florence Diya Aya,,Kaura,1948,OND in Secretarial Studies
Ado Dogo Audu,PDP,Jema's/Sanga,16/02/1964,NCE Certificate
Mohammed H. Liiloro,PDP,Makarfi/Kudan,1953,HND in Local Goverment Administration
Audu Dansa,PDP,Kauru,20/06/1960,Bachelor Degree in Physical and Health Education
Yakubu M. Isiaku,PDP,Chikun/Kajuru,12/01/1964,Secondary School Cert.
Adams Jagaba,PDP,Kachia/Kagarko,01/10/1960,Bachelors Degree in Mass Communication
M. Inuwa Aliyu,PDP,Lere,20/08/1959,HND in Estate Management
Yahaya Tanko,PDP,Kaduna North,01/01/1959,HND Marketing
Abdul'Rauf Tukur,PDP,Soba,1961,Master of Arts Degree in Languages
