Name,Party,Constituency,Date of Birth,Education
Oludotun Animashaun,AD,Kosofe,09/09/1947,P.G. Diploma in Management
Adebola O. Ogunmefun,AD,Agege,01/03/1954,"MBA, MA in Management Studies"
Olaribigbe Aremu Matesun,AD,Amuwo-Odofin,07/05/1933,Bachelors Degree in Structural Engineering
James Bolarinwa Seyon,AD,Badagry,07/03/1957,MBA
Olufemi O. Onimole,AD,Ifako-Ijaiye,15/08/1958,Nigerian Defence Academy Certificate
Habeeb Adekunle B. Fasinro,AD,Eti-Osa,14/11/1963,"B.A (Hons) in Political & Economics, Bachelor of Law"
Okuneye Gbolahan,AD,Oshodi/Isolo II,16/05/1949,Associate of the Institute of Bankers
Kolawole Olokodana,AD,Surulere II,01/01/1935,Diploma in Business Management
Ayoola Oshodi,AD,Surulere I,,
Idris Yahuza Yakubu,,Akwanga/ Nassarawa Eggon/Wamba,10/02/1961,Bachelor of Law Degree
Saliu Mohammed Raj,PDP,Keffi/Karu/Kokona,12/04/1962,Masters Degree in English
Yusuf Suleiman,PDP,Lafia/Obi,22/11/1963,Masters Degree in Language Education
Musa Elayo Abdullahi,PDP,Awe/Doma/Keana,01/09/1959,Bachelor of Law Degree
Samuel Azamu Egya,PDP,Nasarawa & Toto,01/05/1962,Ordinary National Diploma
Saidu Isa,PDP,Mokwa/Lavun/Edati,01/07/1958,Professional Diploma in Mass Communication
Shehu Agaie,PDP,Agaie/Lapai,12/12/1958,HND in Animal Health & Husbandry
