Name,Party,Constituency,Date of Birth,Education
Oke Alex Olusola,SDP,Ilaje/Esw-Odo,07/04/1956,Higher Education Cert.
Bademosi K. Adebayo,SDP,Ondo,21/02/1934,A Graduate from Finance
Doyin Omololu,SDP,Irele,05/05/1942,Graduate from Tottenham College of Arts
Kazeem R. Olanrewaju,SDP,Akoko North,11/03/1957,A Law Graduate
Mike Jimi,NRC,Oye,26/01/1951,He read Medicine.
Samuel Abiodun,SDP,Ifedore,25/12/1936,M.Sc in Economics
Oloyede O. Ajiboye,NRC,Ife North,08/02/1965,"B.Sc in Engineering Physics, Diploma Management Studies"
Moses O. Adeleke,SDP,Boripa,06/11/1936,Certificate in Education
Oladimeji J. Adeleke,SDP,Olorunda,09/04/1949,Certificate in Education
Komolafe I. Oluyemi,SDP,Ataunmosa,05/07/1957,NCE
Benedict A. Olaniyan,SDP,Ila,1948,(B.Sc.) in Insurance
Oyewunmi K. Olalere,SDP,Irewole,05/01/1960,B.Sc. in Geog & Physics
Ezekiel O. Fakayode,SDP,Ifedayo,11/10/1934,Bachelor of Art & Master of Arts in Econs
Oyesiji E. Oyebamiji,SDP,Ola-Oluwa,16/03/1939,Bachelor of Education in English
Olaoye Moses Niniola,SDP,Odo-Otin,10/05/1936,B.A in History/Religious Studies
Fasogbon John Olawale,SDP,Ife Central,23/04/1959,Secondary School Cert.
