Name,Party,Constituency,Date of Birth,Education
Obaoye Peter Olayemi,UPN,Irepodun,06/12/44,UCTA Sales Diploma
Yunusa Folorunsho Ayinla,,Asa,17/03/40,B.Sc Sociology
Umaru Abdullahi,NPN,Kogi,,Diploma in Secretarial Studies
Adesida Samuel Osabiya,UPN,Somolu,06/01/31,SSCE
Badejo Theophilus Oludotun,UPN,Mushin Central I,29/03/36,"Grade Teacher's Certificate, LL.B (Hons) B.L"
Babatope Biola,UPN,Mushin,29/09/47,B.Sc Geology
Olusi Tajudeen Oluyole,UPN,Lagos South,13/10/36,GCE O/Level
Akinboro Olumuyiwa,UPN,Abeokuta II,26/04/36,Teacher's Grade III Cert.
Mako Adeyinka,UPN,Etina II,11/09/18,"Teacher's Diploma, B.Sc Pure Science"
Bankole David Olayinka,UPN,Egbado/Ifonyi/Ilaro,28/08/26,"Grade II & I Teacher Certificate, GCE O/Level"
Ogunsiji Oladele,UPN,Egbado North,18/12/46,"B.Sc (Hons) Agric, Ph.D Agric. Science"
Oduntan Saula Akabi,UPN,Ifo-Otta,15/02/36,Industrial Relations Cert.
Omidiji Fola,UPN,Egba-Alake,06/07/46,L.L.B
O. Saliu Abagun Adisa,UPN,Ado/Igbesa/Ipokia,07/02/37,Part I Banking Diploma (Institute of Bankers)
Abegunde B. Joseph,UPN,Ekiti East,21/04/47,"B.A (Mass Com.) Certificate in Publishing,"
Fajobi Stephen Faji,UPN,Ekiti South,25/06/25,"LL.B, B.L"
