Name,Party,Constituency,Date of Birth,Education
Abdulkadir Zakari,NPP,Wase,31/12/40,
Stephen Alete,NPP,Ikwere,24/04/36,
Shem E. Asuk,NPN,Bonny I,28/05/31,"Diploma in Public Admin., L.L.B, B.L"
P. K. Atuwo,,Sagbama,,
Tubo O. Bob-Manuel,NPN,Degema II,14/12/38,Diploma Institute of Transport
P. I. Egberipou,NPN,Yenagoa,28/05/31,"L.L.B, Local Govt. Admin"
E. Ejoh,NPP,Port Harcourt I,24/04/40,
Kemte Giadom,NPN,Bori II,23/07/26,
Ingo Mac-Eteli,NPN,Brass,27/07/45,
Victor I. Masi,,Ahoada,,
Eze O. A. Nwala,NPP,Ikwere/Etche,05/08/37,"B.A (Hons), Ph.D"
Dagogo Princewill,,Degema I,16/01/40,ACCA
J. S. Sangha,,Bori I,20/05/42,"B. Sc in Bus. Admin, M.A (Pub. Admin)"
J. Taribo Sekibo,,Bonny II,28/12/44,"Diploma Agric., M.Sc"
Godwin Wodi,NPP,Port Harcourt II,27/01/32,
M. Mamman Altine,NPN,Taganza,15/12/50,Grade II Teachers Cert
