Name,Party,Constituency,Date of Birth,Education
Gordon J. Idang,GNPP,Etinan II,08/08/39,
Ebinwhe J. Sowho,NPN,Ethiope North,18/03/1937,Medical Doctor
R. I. Uneh,UPN,Agbazilo,27/11/38,
B. I. Uwagboe,NPN,Ovia,23/06/20,
George N. Uwechue,NPP,Aniocha,30/11/38,"W.A.S.C, L.L.B"
J. M. Zuokumor,NPN,Burutu,07/04/35,
Roland Owie,,Orhionmwon,28/08/45,"B.A in Geography, Cert in Personnel Mgt."
Joel O. Abu,NPN,Bassa/Dekina,12/06/41,General Cert of Nursing
A. D. O. Abutu,NPN,Ankpa South,17/01/1937,
D. Afaityo,NPN,Okpokwu West,27/12/45,
David Okwoche Agi,NPN,Gboko East,31/12/46,
D. Y. Atanu,,Oju,,
David Attah,NPP,Okpokwu East,25/09/45,
P.D. Awuna,NPN,Gwer West,11/07/39,
Benjamin A. Chaha,NPN,Katsina-Ala,1940,Grade II & III Teacher's Certificate
E. Ejiga,NPN,Oturkpo,05/10/40,
