Name,Party,Constituency,Date of Birth,Education
Chiekwe Esiaga Nze,SDP,Abia North,10/12/1955,Bachelors degree in Political Science
Adolphus N. Wabara,NRC,Ukwa-East,01/06/1948,Master Degree intel Relations
Omenihu Nwogwugwu,SDP,Aba South,04/03/1957,B.Sc Economics
Uzomah K. Anamah,NRC,Ikwano,17/04/1959,LL.B (Hons)
Iheanacho B. Nwannunu,NRC,Isiala Ngwa South,25/07/1953,B.Sc in Pol. Science
O. N. Akomas,,Umuahia,12/09/1940,"B.Sc, A.C.A. & M.B.I.M"
Nwokonko E. Chikezie,NRC,Isiala Ngwa North,05/08/1958,B.L
Gabriel Eni Otu,NRC,Afikpo North,03/07/1958,Diplomas in Local Govt. Admin. & Bus Admin.
Nnanna Ngwu,NRC,Arochukwu,05/04/1955,Read Petroleum Geology
D. O. Elebe,NRC,Onitcha,27/07/1960,Diploma in Marketing
Daniel Nmeme Enere,SDP,Ukwa West,10/02/1938,Doctor of Medcine
Chidi N. Maduekwe,SDP,Ohafia,15/10/1953,M.B.B.S
Emeka Ben Obi,NRC,Isuikwato,05/03/1948,Bachelors degree in Mechanical Engineering
Ben Yadiri C. Okike,NRC,Ohaozara,,
Okorie U. Agu,NRC,Afikpo South,,
Macaulay I. Obia,NRC,Obioma-Ngwa,,
