Name,Party,Constituency,Date of Birth,Education
Ahmed B. Magaji,NRC,Maidaduwa,27/05/1952,NCE and Obtained a B.L.S.
Jafaru A. Balarabe,NRC,Faskari,20/05/1956,Secondary School Cert.
Isah Aliyu Mahuta,NRC,Funtua,1960,Attended Teacher's College
Adamu Sule Jibia,SDP,Jiba,01/01/1956,Majored in Maths
Mariya I. Abdullahi,NRC,Bakori,12/11/1954,Diploma Television Production.
Ibrahim Mulumfashi,NRC,Malumfashi,01/11/1948,Certificate of Proficiency from Nigerian Railway
Dahiru Dayyabu,NRC,Kafur,27/04/1964,National Cert. of Ed.
Badaru H. Matazu,NRC,Matazu,1943,International Certificate in Social Welfare
Ahmed A. Bindawa,NRC,Bindawa,13/07/1963,Degree in Geography
Mohammed Samaila,NRC,Katsina,25/03/1957,Science Laboratory Technology
Mohammed L. Nalado,NRC,Daura,,
Samaila Lado,NRC,Kankai,,
Idris Alti Kaita,NRC,Kaita,,
Abdulranman Usman,NRC,Batagarawa,,
Bashiru Isa Mani,SDP,Mani,,
Garba Ahmed Giro,NRC,Suru,1952,"Grade II, Teacher's Cert."
