Name,Party,Constituency,Date of Birth,Education
Yepwi Thomas,NPN,Keffi,21/05/1930,
Pam John Wash,NPP,Jos,22/10/1940,
Agwal Muhammed Musa,NPN,"Lafia, Akwanga/Awe",03/03/1939,
Hoomkwap George Baba,NPP,Shendam,28/12/1942,
Matta Garba,NPP,Pankshin/Mangu/Kanam,21/03/1932,
Zuofa Amatari,NPN,Rivers III (Brass/Sagbama/Yenogoa),29/11/1923,
Wali Obi,NPP,Rivers I (Phalga),27/02/1932,
Ellah Francis John,NPP,Rivers II (Ahoada/Ikwerre/Etche),04/11/1927,
Nunieh Cyrus Nwidonane,NPN,Rivers IV (Bonny/Bori),05/02/1930,L.L.B & B.L
Eberewariye Oyiboseigha,NPN,Degema,1949,
Zuru Hassan,NPN,Sokoto North,1927,
Abdul-Karim Muhtari,NPN,Sokoto East,05/02/1938,
Kware Garba,NPN,Sokoto Central,01/04/1925,
Muza Haruna,NPN,Sokoto West,1919,
Gada Garba,NPN,Sokoto North,1934,
