Name,Party,Constituency,Date of Birth,Education
Aliyu Isa,PRP,Makarfi,02/06/40,
L. N. Daura,NPN,Daura West,14/02/33,
Sanusi Imam,NPN,Kankiya,12/06/39,
Yufusu Bindawa,NPN,Bindawa,1936,
Sule Ibrahim,NPN,Rimi Batagarawa,24/03/44,
Umaru Alti,NPN,Mashi Dutsi,1948,
I. C. Ibrahim,NPN,Jama'a South,20/11/43,
Manzo Abubakar,NPN,Daura East,26/06/25,
Dabo Bujawa,NPN,Mani,05/03/30,
Gambo Abubakar,NPN,Dutsinma,02/05/50,
Rilwanu Garba,NPN,Musawa,,
B. Abdullahi,PRP,Tsagero,20/05/37,
M. A. Gajere,NPN,Kachia,1940,Diploma in Education
Saleh Abba,PRP,Zaria-North-East,,
Ibrahim Hayin-Gada,PRP,Bakori,25/02/34,
H. M. J. Wachuku,NPP,Ukwa,25/10/1925,
