Name,Party,Constituency,Date of Birth,Education
Yanusa M. Baskuwa,NRC,Kafin Hausa,1955,Grade II Teacher's Certificate
Awaisu Hudu Sakwaya,SDP,Dutse,20/02/1961,"Attended Govt. Science Sec. Schl, Azaize"
Mohammed Garki,SDP,Garki,22/04/1951,HND in Sec. Studies
Shehu Adamu Kasaure,SDP,Kazaure,1942,Diploma in Civil Eng.
Nasiru Mohammed,SDP,Gumel,1960,NC in Education
Mohammed I. Gabarin,SDP,Ringim,1960,Secondary School Ed.
Ahmed Aliyu Maje,SDP,Taura,,N.C.E & B.Sc. in Ed./Biology
Sirajo C. Farindutse,SDP,Gwaram,19/03/1957,HND in Animal Health & Husbandry
Abubakar I. Korayal,SDP,Gwiwa,12/01/1944,Sec. Edu.; Teachers College
Bashari Abdullahi,SDP,Sule Tan-Karkar,1966,Bachelors degree in Agriculture
Usman M. Kiri-Kasamma,,Kirikasamma,12/12/1949,N.C.E; B.A in Education
Garba Iliyasu Damai,SDP,Birnin Kudu,10/08/1952,N.C.E
Ma'aruf M. Roni,SDP,Roni,01/10/1961,N.C.E in Economics
Aminu Umaru Sidi,,Kaugama,02/04/1957,Bachelors degree in Political Science
Ahmed Ahmed Safio,SDP,Maigatari,10/05/1960,Diploma in Business Administration
Sule Daini Aliyu,SDP,Kiyawa,,
