Name,Party,Constituency,Date of Birth,Education
Sirajo Harisu,PDP,Danratta/Makoda,30/12/1956,One-year Higher School
Shehu Haruna Lambu,PDP,Ditofa/Tofa/Rimin-Gado,10/04/1964,Bachelor of Education Degree in Integrated Sci.
Farouk Muh'd Lawan,PDP,Bagwai/Shanono,"July, 1961",Master Degree in English
Aliyu Moh'd Kachako,PDP,Sumaila/Takai,11/12/1963,HND in Business Admn.
Ali Bala,PDP,Kumbotso,20/03/1956,Bachelor Degree in Environmental Mgt.
Nasiru Abduwa Gabasawa,PDP,Gezawa/Gabsawa,16/06/1968,Advance Diploma in Public Administration
Bako Sarai,,Dawakin-Kudu/Warawa,01/10/1952,Master Degree in Mech. Engineering System
Aminu Ghali Hausawa,PDP,Gwale,11/11/1958,Bachelors Degree in Building
Ad'hama Ismail Muktar,PDP,Ungogo/Minjibir,20/04/1956,Bachelors Degree in Accountancy
Yako Aliyu Mohammed,,Kiru/Bebeji,,
Ibrahim Salisu Buhari,PDP,,,
Adamu Saidu Daura,PDP,Daura/Sandamu/Mai'adua,21/04/1961,NCE
Abdul Haro Mashi,PDP,Mashi/Dvisi,15/08/1954,Bachelors Degree & PGD in Public Policy & Admin.
Muazu Lemamu Tsagero,PDP,Rimi/Charanchi/Batagarawa,1960,Grade II Certificate
Tukur Idris Nadabo,PDP,Bakori/Danja,"August, 1932",SSCE Certificate & In-Service Courses
Abubakar Garba Shehu,PDP,Musawa/Matazu,15/06/1961,Doctoral Degree in Philosophy Curriculum Studies
