Name,Party,Constituency,Date of Birth,Education
Godwin Puldu,NRC,Guyuk,1946,Grade II Certificate
Agunwa Anaekwe,SDP,Anaocha,27/04/1956,Bachelor of law degree; & Barrister-at-law
Ifeoma Olive Chinwuba,SDP,Awka South,09/11/1959,Studied Law
Okechukwu D. Umeano,SDP,Oyi,17/10/1957,A graduate of Medicine
Lawrence Arinze Abuah,SDP,Onitsha North,30/09/1957,A graduate of Obafemi Awolowo University
Philip Obiora Agbasi,SDP,Nnewi South,19/10/1956,A graduate of Pol. Science
Nwankwo Nnabuochi,SDP,Akwa North,15/04/1949,A graduate
Ezeobi Okpala,SDP,Onitsha,05/05/1962,G.C.E. A'Level
Ifeanyi Nwankwu,SDP,Njikoka,24/11/1954,Bachelor of law; & Barrister-at-law
Francis Uchenna Okeke,SDP,Aguata federal,11/10/1957,Bachelor of law Degree; & Barrister-at-law
Ike Nnadozie Ndujekwu,NRC,Orumba North,17/04/1962,"LL.B (Hons), B. A, LL.M"
Obi I. Anoliefo,SDP,Idemili,01/05/1942,A graduate of Business Administration
Ifeanyi A. U. Auevoru,SDP,Anambra,28/10/1951,A law graduate
Mike Ikoku,SDP,Ihiala,,
John Obiora Ikechukwu,NRC,Nnewi,,
Celestine Obi Olisa,SDP,Ogbaru,,
