Name,Party,Constituency,Date of Birth,Education
Nasiru Garba Dantiye,ANPP,Garki/Babura,January 1960,Bachelor of Science Degree in Accounting
Bashir Adamu,ANPP,Kazaure/Roni/Gwiwa/ Yankwashi,April 1960,Bachelor Degree (Political Science)
Ibrahim Baba Chaicai,ANPP,Dutse/Kiyawa,January 1952,WAEC
Ibrahim Mohd. Garb,ANPP,Gumel/Gagrawa/ Magari/Sule,May 1959,Bachelor Degree in Law
Ado Dogo Audu,PDP,Jema'a/Sanga,February 1964,Diploma in Public Admin.
Muhammad S. Ibrahim,ANPP,Kaduna North,October 1970,Post Graduate Diploma in Inter'l Relations & Diplomacy
Joseph M. Gumbari,PDP,Kaura,August 1957,Bachelor of Arts
Yakubu Umaru Barde,PDP,Chikun/Kajuru,August 1968,"Masters of Science in Agric., Economics"
Sani Buhari,ANPP,Igabi,October 1949,Bachelor in Education (Social Studies)
Mohammad N. Shehu,PDP,Birnin-Gwari/Giwa,December 1971,(B.SC) in Quantity Survey
Ruth Jumai Ango,PDP,Zango Kataf/Jaba,April 1965,Staff Nurse/Midwife
Adulra'uf Tukur,PDP,Soba,April 1961,Master of Art in Language
Sani M. Sha'aban,ANPP,Sabon-Gari,August 1958,Diploma in Accountancy
Yusuf Datti Baba,ANPP,Zaria,January 1969,M.Sc. & M.Sc. Business Administration
Zagi Caleb,PDP,Kachia/Kagarko,October 1960,M.Sc in Business Administration
Garba K. Binta,ANPP,Kaduna South,April 1967,HND in Marketing
