Name,Party,Constituency,Date of Birth,Education
Rukayat G. Saraki-Fowora,APP,Asa/Ilorin West,03/03/1965,Bachelors Degree in Economics
Stephen Adedapo Banjo,APP,Epe Central,07/04/1934,HND
Adetona Balina Yusuf,APP,Ibeje/Lekki,08/03/1939,Secondary School Education
Akinyemi Beckley,AD,Ikeja/Lagos,11/08/1944,Diploma in Mechanical Engineering
Mudashiru Oyetunde Husain,AD,Oshodi/Isolo,25/10/1955,Bachelors Degree in French Language
Mayegun Azeez Abayomi,AD,Lagos Island I,29/09/1962,Bachelors Degree in Law
Toyin Bolarinwa James,AD,Ajeromi Ifelodun,10/06/1960,OND in Business Admin.
Adeleke Kehinde,AD,Ojo,28/12/1949,MB.BS
Moshood Adegoke Salvador,AD,Mushin I,13/12/1955,HND in Export Marketing Management
Monsuru Alao Owolabi,AD,Lagos Island II,01/03/1944,HND in Business Admin.
Olusegun Vincent Damiro,AD,Mushin II,10/08/1951,Diploma in Building Management
Adeyemi Oluwole,AD,Somolu,30/10/1952,Bachelor of Law Degree
Wunmi Bewaji Mabayoje,AP,Lagos Mainland,01/05/1965,Masters Degree (LL.M) in International Economic Law & Law of Sea
Dorcas O. Idowu Odujinrin,AD,Ikorodu,14/04/1943,HND in Business
Oladipo Olaitan,AD,Alimosho,27/09/1942,HND & Bachelor of Law Degree
Omolola Abiola-Edewor,AD,Apapa,19/05/1961,MBA in Marketing
